Time (ms),Velocity (m/s),Altitude (m),Pitch (degree),Yaw (degree),Extension Level,Motor Burning,Acceleration (m/s^2)
5165,98.2999999999967,641.9847499999822,1,1,1,False,-10
5170,98.2499999999967,642.4762499999822,1,1,1,False,-10
5175,98.1999999999967,642.9674999999822,1,1,1,False,-10
5180,98.14999999999671,643.4584999999822,1,1,1,False,-10
5185,98.09999999999671,643.9492499999822,1,1,1,False,-10
5190,98.04999999999671,644.4397499999822,1,1,1,False,-10
5195,97.99999999999672,644.9299999999821,1,1,1,False,-10
5200,97.94999999999672,645.4199999999821,1,1,1,False,-10
5205,97.89999999999672,645.9097499999821,1,1,1,False,-10
5210,97.84999999999673,646.3992499999821,1,1,1,False,-10
5215,97.79999999999673,646.8884999999821,1,1,1,False,-10
5220,97.74999999999673,647.3774999999821,1,1,1,False,-10
5225,97.69999999999673,647.8662499999821,1,1,1,False,-10
5230,97.64999999999674,648.354749999982,1,1,1,False,-10
5235,97.59999999999674,648.842999999982,1,1,1,False,-10
5240,97.54999999999674,649.3309999999819,1,1,1,False,-10
5245,97.49999999999675,649.818749999982,1,1,1,False,-10
5250,97.44999999999675,650.3062499999819,1,1,1,False,-10
5255,97.39999999999675,650.7934999999819,1,1,1,False,-10
5260,97.34999999999675,651.2804999999819,1,1,1,False,-10
5265,97.29999999999676,651.7672499999819,1,1,1,False,-10
5270,97.24999999999676,652.2537499999819,1,1,1,False,-10
5275,97.19999999999676,652.7399999999818,1,1,1,False,-10
5280,97.14999999999677,653.2259999999818,1,1,1,False,-10
5285,97.09999999999677,653.7117499999817,1,1,1,False,-10
5290,97.04999999999677,654.1972499999818,1,1,1,False,-10
5295,96.99999999999677,654.6824999999817,1,1,1,False,-10
5300,96.94999999999678,655.1674999999817,1,1,1,False,-10
5305,96.89999999999678,655.6522499999817,1,1,1,False,-10
5310,96.84999999999678,656.1367499999817,1,1,1,False,-10
5315,96.79999999999679,656.6209999999817,1,1,1,False,-10
5320,96.74999999999679,657.1049999999817,1,1,1,False,-10
5325,96.69999999999679,657.5887499999817,1,1,1,False,-10
5330,96.6499999999968,658.0722499999816,1,1,1,False,-10
5335,96.5999999999968,658.5554999999816,1,1,1,False,-10
5340,96.5499999999968,659.0384999999816,1,1,1,False,-10
5345,96.4999999999968,659.5212499999816,1,1,1,False,-10
5350,96.4499999999968,660.0037499999816,1,1,1,False,-10
5355,96.39999999999681,660.4859999999816,1,1,1,False,-10
5360,96.34999999999681,660.9679999999815,1,1,1,False,-10
5365,96.29999999999681,661.4497499999816,1,1,1,False,-10
5370,96.24999999999682,661.9312499999816,1,1,1,False,-10
5375,96.19999999999682,662.4124999999815,1,1,1,False,-10
5380,96.14999999999682,662.8934999999815,1,1,1,False,-10
5385,96.09999999999683,663.3742499999814,1,1,1,False,-10
5390,96.04999999999683,663.8547499999814,1,1,1,False,-10
5395,95.99999999999683,664.3349999999814,1,1,1,False,-10
5400,95.94999999999683,664.8149999999814,1,1,1,False,-10
5405,95.89999999999684,665.2947499999814,1,1,1,False,-10
5410,95.84999999999684,665.7742499999814,1,1,1,False,-10
5415,95.79999999999684,666.2534999999814,1,1,1,False,-10
5420,95.74999999999685,666.7324999999813,1,1,1,False,-10
5425,95.69999999999685,667.2112499999813,1,1,1,False,-10
5430,95.64999999999685,667.6897499999812,1,1,1,False,-10
5435,95.59999999999685,668.1679999999812,1,1,1,False,-10
5440,95.54999999999686,668.6459999999812,1,1,1,False,-10
5445,95.49999999999686,669.1237499999812,1,1,1,False,-10
5450,95.44999999999686,669.6012499999812,1,1,1,False,-10
5455,95.39999999999687,670.0784999999812,1,1,1,False,-10
5460,95.34999999999687,670.5554999999812,1,1,1,False,-10
5465,95.29999999999687,671.0322499999812,1,1,1,False,-10
5470,95.24999999999687,671.5087499999812,1,1,1,False,-10
5475,95.19999999999688,671.9849999999811,1,1,1,False,-10
5480,95.14999999999688,672.4609999999811,1,1,1,False,-10
5485,95.09999999999688,672.9367499999811,1,1,1,False,-10
5490,95.04999999999688,673.4122499999811,1,1,1,False,-10
5495,94.99999999999689,673.8874999999811,1,1,1,False,-10
5500,94.94999999999689,674.3624999999811,1,1,1,False,-10
5505,94.8999999999969,674.837249999981,1,1,1,False,-10
5510,94.8499999999969,675.3117499999811,1,1,1,False,-10
5515,94.7999999999969,675.7859999999811,1,1,1,False,-10
5520,94.7499999999969,676.259999999981,1,1,1,False,-10
5525,94.6999999999969,676.733749999981,1,1,1,False,-10
5530,94.64999999999691,677.207249999981,1,1,1,False,-10
5535,94.59999999999691,677.680499999981,1,1,1,False,-10
5540,94.54999999999691,678.1534999999809,1,1,1,False,-10
5545,94.49999999999692,678.6262499999809,1,1,1,False,-10
5550,94.44999999999692,679.0987499999809,1,1,1,False,-10
5555,94.39999999999692,679.5709999999809,1,1,1,False,-10
5560,94.34999999999692,680.0429999999809,1,1,1,False,-10
5565,94.29999999999693,680.5147499999808,1,1,1,False,-10
5570,94.24999999999693,680.9862499999808,1,1,1,False,-10
5575,94.19999999999693,681.4574999999808,1,1,1,False,-10
5580,94.14999999999694,681.9284999999808,1,1,1,False,-10
5585,94.09999999999694,682.3992499999807,1,1,1,False,-10
5590,94.04999999999694,682.8697499999807,1,1,1,False,-10
5595,93.99999999999694,683.3399999999807,1,1,1,False,-10
5600,93.94999999999695,683.8099999999807,1,1,1,False,-10
5605,93.89999999999695,684.2797499999807,1,1,1,False,-10
5610,93.84999999999695,684.7492499999807,1,1,1,False,-10
5615,93.79999999999696,685.2184999999807,1,1,1,False,-10
5620,93.74999999999696,685.6874999999807,1,1,1,False,-10
5625,93.69999999999696,686.1562499999807,1,1,1,False,-10
5630,93.64999999999696,686.6247499999806,1,1,1,False,-10
5635,93.59999999999697,687.0929999999806,1,1,1,False,-10
5640,93.54999999999697,687.5609999999806,1,1,1,False,-10
5645,93.49999999999697,688.0287499999806,1,1,1,False,-10
5650,93.44999999999698,688.4962499999806,1,1,1,False,-10
5655,93.39999999999698,688.9634999999806,1,1,1,False,-10
5660,93.34999999999698,689.4304999999806,1,1,1,False,-10
5665,93.29999999999698,689.8972499999805,1,1,1,False,-10
5670,93.24999999999699,690.3637499999805,1,1,1,False,-10
5675,93.19999999999699,690.8299999999805,1,1,1,False,-10
5680,93.149999999997,691.2959999999805,1,1,1,False,-10
5685,93.099999999997,691.7617499999805,1,1,1,False,-10
5690,93.049999999997,692.2272499999805,1,1,1,False,-10
5695,92.999999999997,692.6924999999804,1,1,1,False,-10
5700,92.949999999997,693.1574999999805,1,1,1,False,-10
5705,92.89999999999701,693.6222499999805,1,1,1,False,-10
5710,92.84999999999701,694.0867499999804,1,1,1,False,-10
5715,92.79999999999701,694.5509999999804,1,1,1,False,-10
5720,92.74999999999702,695.0149999999803,1,1,1,False,-10
5725,92.69999999999702,695.4787499999803,1,1,1,False,-10
5730,92.64999999999702,695.9422499999803,1,1,1,False,-10
5735,92.59999999999702,696.4054999999803,1,1,1,False,-10
5740,92.54999999999703,696.8684999999803,1,1,1,False,-10
5745,92.49999999999703,697.3312499999803,1,1,1,False,-10
5750,92.44999999999703,697.7937499999803,1,1,1,False,-10
5755,92.39999999999704,698.2559999999803,1,1,1,False,-10
5760,92.34999999999704,698.7179999999803,1,1,1,False,-10
5765,92.29999999999704,699.1797499999802,1,1,1,False,-10
5770,92.24999999999704,699.6412499999802,1,1,1,False,-10
5775,92.19999999999705,700.1024999999802,1,1,1,False,-10
5780,92.14999999999705,700.5634999999802,1,1,1,False,-10
5785,92.09999999999705,701.0242499999802,1,1,1,False,-10
5790,92.04999999999706,701.4847499999802,1,1,1,False,-10
5795,91.99999999999706,701.9449999999802,1,1,1,False,-10
5800,91.94999999999706,702.4049999999802,1,1,1,False,-10
5805,91.89999999999706,702.8647499999802,1,1,1,False,-10
5810,91.84999999999707,703.3242499999801,1,1,1,False,-10
5815,91.79999999999707,703.7834999999801,1,1,1,False,-10
5820,91.74999999999707,704.24249999998,1,1,1,False,-10
5825,91.69999999999708,704.7012499999801,1,1,1,False,-10
5830,91.64999999999708,705.15974999998,1,1,1,False,-10
5835,91.59999999999708,705.61799999998,1,1,1,False,-10
5840,91.54999999999708,706.07599999998,1,1,1,False,-10
5845,91.49999999999709,706.53374999998,1,1,1,False,-10
5850,91.44999999999709,706.99124999998,1,1,1,False,-10
5855,91.39999999999709,707.44849999998,1,1,1,False,-10
5860,91.3499999999971,707.90549999998,1,1,1,False,-10
5865,91.2999999999971,708.3622499999799,1,1,1,False,-10
5870,91.2499999999971,708.8187499999799,1,1,1,False,-10
5875,91.1999999999971,709.2749999999799,1,1,1,False,-10
5880,91.1499999999971,709.7309999999799,1,1,1,False,-10
5885,91.09999999999711,710.1867499999798,1,1,1,False,-10
5890,91.04999999999711,710.6422499999799,1,1,1,False,-10
5895,90.99999999999712,711.0974999999798,1,1,1,False,-10
5900,90.94999999999712,711.5524999999799,1,1,1,False,-10
5905,90.89999999999712,712.0072499999799,1,1,1,False,-10
5910,90.84999999999712,712.4617499999798,1,1,1,False,-10
5915,90.79999999999713,712.9159999999798,1,1,1,False,-10
5920,90.74999999999713,713.3699999999798,1,1,1,False,-10
5925,90.69999999999713,713.8237499999798,1,1,1,False,-10
5930,90.64999999999714,714.2772499999797,1,1,1,False,-10
5935,90.59999999999714,714.7304999999798,1,1,1,False,-10
5940,90.54999999999714,715.1834999999797,1,1,1,False,-10
5945,90.49999999999714,715.6362499999798,1,1,1,False,-10
5950,90.44999999999715,716.0887499999798,1,1,1,False,-10
5955,90.39999999999715,716.5409999999797,1,1,1,False,-10
5960,90.34999999999715,716.9929999999797,1,1,1,False,-10
5965,90.29999999999715,717.4447499999796,1,1,1,False,-10
5970,90.24999999999716,717.8962499999797,1,1,1,False,-10
5975,90.19999999999716,718.3474999999796,1,1,1,False,-10
5980,90.14999999999716,718.7984999999796,1,1,1,False,-10
5985,90.09999999999717,719.2492499999796,1,1,1,False,-10
5990,90.04999999999717,719.6997499999796,1,1,1,False,-10
5995,89.99999999999717,720.1499999999796,1,1,1,False,-10
6000,89.94999999999717,720.5999999999796,1,1,1,False,-10
6005,89.89999999999718,721.0497499999796,1,1,1,False,-10
6010,89.84999999999718,721.4992499999795,1,1,1,False,-10
6015,89.79999999999718,721.9484999999795,1,1,1,False,-10
6020,89.74999999999719,722.3974999999795,1,1,1,False,-10
6025,89.69999999999719,722.8462499999795,1,1,1,False,-10
6030,89.64999999999719,723.2947499999794,1,1,1,False,-10
6035,89.5999999999972,723.7429999999795,1,1,1,False,-10
6040,89.5499999999972,724.1909999999795,1,1,1,False,-10
6045,89.4999999999972,724.6387499999795,1,1,1,False,-10
6050,89.4499999999972,725.0862499999795,1,1,1,False,-10
6055,89.3999999999972,725.5334999999794,1,1,1,False,-10
6060,89.34999999999721,725.9804999999794,1,1,1,False,-10
6065,89.29999999999721,726.4272499999794,1,1,1,False,-10
6070,89.24999999999721,726.8737499999794,1,1,1,False,-10
6075,89.19999999999722,727.3199999999794,1,1,1,False,-10
6080,89.14999999999722,727.7659999999794,1,1,1,False,-10
6085,89.09999999999722,728.2117499999794,1,1,1,False,-10
6090,89.04999999999723,728.6572499999794,1,1,1,False,-10
6095,88.99999999999723,729.1024999999794,1,1,1,False,-10
6100,88.94999999999723,729.5474999999793,1,1,1,False,-10
6105,88.89999999999723,729.9922499999793,1,1,1,False,-10
6110,88.84999999999724,730.4367499999793,1,1,1,False,-10
6115,88.79999999999724,730.8809999999793,1,1,1,False,-10
6120,88.74999999999724,731.3249999999792,1,1,1,False,-10
6125,88.69999999999725,731.7687499999793,1,1,1,False,-10
6130,88.64999999999725,732.2122499999792,1,1,1,False,-10
6135,88.59999999999725,732.6554999999793,1,1,1,False,-10
6140,88.54999999999725,733.0984999999793,1,1,1,False,-10
6145,88.49999999999726,733.5412499999792,1,1,1,False,-10
6150,88.44999999999726,733.9837499999792,1,1,1,False,-10
6155,88.39999999999726,734.4259999999791,1,1,1,False,-10
6160,88.34999999999727,734.8679999999791,1,1,1,False,-10
6165,88.29999999999727,735.3097499999791,1,1,1,False,-10
6170,88.24999999999727,735.7512499999791,1,1,1,False,-10
6175,88.19999999999727,736.1924999999791,1,1,1,False,-10
6180,88.14999999999728,736.6334999999791,1,1,1,False,-10
6185,88.09999999999728,737.0742499999791,1,1,1,False,-10
6190,88.04999999999728,737.5147499999791,1,1,1,False,-10
6195,87.99999999999729,737.9549999999791,1,1,1,False,-10
6200,87.94999999999729,738.3949999999791,1,1,1,False,-10
6205,87.89999999999729,738.8347499999791,1,1,1,False,-10
6210,87.8499999999973,739.274249999979,1,1,1,False,-10
6215,87.7999999999973,739.713499999979,1,1,1,False,-10
6220,87.7499999999973,740.152499999979,1,1,1,False,-10
6225,87.6999999999973,740.591249999979,1,1,1,False,-10
6230,87.6499999999973,741.029749999979,1,1,1,False,-10
6235,87.59999999999731,741.467999999979,1,1,1,False,-10
6240,87.54999999999731,741.905999999979,1,1,1,False,-10
6245,87.49999999999731,742.343749999979,1,1,1,False,-10
6250,87.44999999999732,742.781249999979,1,1,1,False,-10
6255,87.39999999999732,743.2184999999789,1,1,1,False,-10
6260,87.34999999999732,743.6554999999789,1,1,1,False,-10
6265,87.29999999999733,744.0922499999789,1,1,1,False,-10
6270,87.24999999999733,744.5287499999789,1,1,1,False,-10
6275,87.19999999999733,744.9649999999789,1,1,1,False,-10
6280,87.14999999999733,745.4009999999789,1,1,1,False,-10
6285,87.09999999999734,745.8367499999789,1,1,1,False,-10
6290,87.04999999999734,746.2722499999788,1,1,1,False,-10
6295,86.99999999999734,746.7074999999788,1,1,1,False,-10
6300,86.94999999999735,747.1424999999788,1,1,1,False,-10
6305,86.89999999999735,747.5772499999788,1,1,1,False,-10
6310,86.84999999999735,748.0117499999787,1,1,1,False,-10
6315,86.79999999999735,748.4459999999788,1,1,1,False,-10
6320,86.74999999999736,748.8799999999787,1,1,1,False,-10
6325,86.69999999999736,749.3137499999788,1,1,1,False,-10
6330,86.64999999999736,749.7472499999787,1,1,1,False,-10
6335,86.59999999999737,750.1804999999788,1,1,1,False,-10
6340,86.54999999999737,750.6134999999788,1,1,1,False,-10
6345,86.49999999999737,751.0462499999787,1,1,1,False,-10
6350,86.44999999999737,751.4787499999787,1,1,1,False,-10
6355,86.39999999999738,751.9109999999787,1,1,1,False,-10
6360,86.34999999999738,752.3429999999787,1,1,1,False,-10
6365,86.29999999999738,752.7747499999787,1,1,1,False,-10
6370,86.24999999999739,753.2062499999787,1,1,1,False,-10
6375,86.19999999999739,753.6374999999787,1,1,1,False,-10
6380,86.14999999999739,754.0684999999787,1,1,1,False,-10
6385,86.0999999999974,754.4992499999787,1,1,1,False,-10
6390,86.0499999999974,754.9297499999786,1,1,1,False,-10
6395,85.9999999999974,755.3599999999786,1,1,1,False,-10
6400,85.9499999999974,755.7899999999786,1,1,1,False,-10
6405,85.8999999999974,756.2197499999786,1,1,1,False,-10
6410,85.84999999999741,756.6492499999786,1,1,1,False,-10
6415,85.79999999999741,757.0784999999786,1,1,1,False,-10
6420,85.74999999999741,757.5074999999786,1,1,1,False,-10
6425,85.69999999999742,757.9362499999786,1,1,1,False,-10
6430,85.64999999999742,758.3647499999786,1,1,1,False,-10
6435,85.59999999999742,758.7929999999785,1,1,1,False,-10
6440,85.54999999999742,759.2209999999785,1,1,1,False,-10
6445,85.49999999999743,759.6487499999785,1,1,1,False,-10
6450,85.44999999999743,760.0762499999785,1,1,1,False,-10
6455,85.39999999999743,760.5034999999784,1,1,1,False,-10
6460,85.34999999999744,760.9304999999785,1,1,1,False,-10
6465,85.29999999999744,761.3572499999784,1,1,1,False,-10
6470,85.24999999999744,761.7837499999785,1,1,1,False,-10
6475,85.19999999999744,762.2099999999784,1,1,1,False,-10
6480,85.14999999999745,762.6359999999784,1,1,1,False,-10
6485,85.09999999999745,763.0617499999784,1,1,1,False,-10
6490,85.04999999999745,763.4872499999783,1,1,1,False,-10
6495,84.99999999999746,763.9124999999783,1,1,1,False,-10
6500,84.94999999999746,764.3374999999783,1,1,1,False,-10
6505,84.89999999999746,764.7622499999783,1,1,1,False,-10
6510,84.84999999999746,765.1867499999782,1,1,1,False,-10
6515,84.79999999999747,765.6109999999783,1,1,1,False,-10
6520,84.74999999999747,766.0349999999783,1,1,1,False,-10
6525,84.69999999999747,766.4587499999783,1,1,1,False,-10
6530,84.64999999999748,766.8822499999783,1,1,1,False,-10
6535,84.59999999999748,767.3054999999782,1,1,1,False,-10
6540,84.54999999999748,767.7284999999782,1,1,1,False,-10
6545,84.49999999999748,768.1512499999782,1,1,1,False,-10
6550,84.44999999999749,768.5737499999782,1,1,1,False,-10
6555,84.39999999999749,768.9959999999782,1,1,1,False,-10
6560,84.3499999999975,769.4179999999782,1,1,1,False,-10
6565,84.2999999999975,769.8397499999782,1,1,1,False,-10
6570,84.2499999999975,770.2612499999782,1,1,1,False,-10
6575,84.1999999999975,770.6824999999782,1,1,1,False,-10
6580,84.1499999999975,771.1034999999781,1,1,1,False,-10
6585,84.09999999999751,771.5242499999781,1,1,1,False,-10
6590,84.04999999999751,771.9447499999781,1,1,1,False,-10
6595,83.99999999999751,772.3649999999781,1,1,1,False,-10
6600,83.94999999999752,772.784999999978,1,1,1,False,-10
6605,83.89999999999752,773.204749999978,1,1,1,False,-10
6610,83.84999999999752,773.624249999978,1,1,1,False,-10
6615,83.79999999999752,774.043499999978,1,1,1,False,-10
6620,83.74999999999753,774.462499999978,1,1,1,False,-10
6625,83.69999999999753,774.881249999978,1,1,1,False,-10
6630,83.64999999999753,775.299749999978,1,1,1,False,-10
6635,83.59999999999754,775.7179999999779,1,1,1,False,-10
6640,83.54999999999754,776.1359999999779,1,1,1,False,-10
6645,83.49999999999754,776.5537499999779,1,1,1,False,-10
6650,83.44999999999754,776.9712499999779,1,1,1,False,-10
6655,83.39999999999755,777.3884999999779,1,1,1,False,-10
6660,83.34999999999755,777.8054999999779,1,1,2,False,-10
6665,83.29999999999755,778.2222499999779,1,1,2,False,-10
6670,83.24999999999756,778.6387499999779,1,1,2,False,-10
6675,83.19999999999756,779.0549999999779,1,1,2,False,-10
6680,83.14999999999756,779.4709999999778,1,1,2,False,-10
6685,83.09999999999756,779.8867499999778,1,1,2,False,-10
6690,83.04999999999757,780.3022499999778,1,1,2,False,-10
6695,82.99999999999757,780.7174999999778,1,1,2,False,-10
6700,82.94999999999757,781.1324999999778,1,1,2,False,-10
6705,82.89999999999758,781.5472499999778,1,1,2,False,-10
6710,82.84999999999758,781.9617499999778,1,1,2,False,-10
6715,82.79999999999758,782.3759999999778,1,1,2,False,-10
6720,82.74999999999758,782.7899999999778,1,1,2,False,-10
6725,82.69999999999759,783.2037499999777,1,1,2,False,-10
6730,82.64999999999759,783.6172499999777,1,1,2,False,-10
6735,82.59999999999759,784.0304999999777,1,1,2,False,-10
6740,82.5499999999976,784.4434999999777,1,1,2,False,-10
6745,82.4999999999976,784.8562499999776,1,1,2,False,-10
6750,82.4499999999976,785.2687499999777,1,1,2,False,-10
6755,82.3999999999976,785.6809999999776,1,1,2,False,-10
6760,82.3499999999976,786.0929999999777,1,1,2,False,-10
6765,82.29999999999761,786.5047499999777,1,1,2,False,-10
6770,82.24999999999761,786.9162499999776,1,1,2,False,-10
6775,82.19999999999762,787.3274999999776,1,1,2,False,-10
6780,82.14999999999762,787.7384999999775,1,1,2,False,-10
6785,82.09999999999762,788.1492499999775,1,1,2,False,-10
6790,82.04999999999762,788.5597499999775,1,1,2,False,-10
6795,81.99999999999763,788.9699999999775,1,1,2,False,-10
6800,81.94999999999763,789.3799999999775,1,1,2,False,-10
6805,81.89999999999763,789.7897499999775,1,1,2,False,-10
6810,81.84999999999764,790.1992499999775,1,1,2,False,-10
6815,81.79999999999764,790.6084999999775,1,1,2,False,-10
6820,81.74999999999764,791.0174999999775,1,1,2,False,-10
6825,81.69999999999764,791.4262499999775,1,1,2,False,-10
6830,81.64999999999765,791.8347499999775,1,1,2,False,-10
6835,81.59999999999765,792.2429999999774,1,1,2,False,-10
6840,81.54999999999765,792.6509999999774,1,1,2,False,-10
6845,81.49999999999766,793.0587499999774,1,1,2,False,-10
6850,81.44999999999766,793.4662499999774,1,1,2,False,-10
6855,81.39999999999766,793.8734999999774,1,1,2,False,-10
6860,81.34999999999766,794.2804999999775,1,1,2,False,-10
6865,81.29999999999767,794.6872499999774,1,1,2,False,-10
6870,81.24999999999767,795.0937499999774,1,1,2,False,-10
6875,81.19999999999767,795.4999999999774,1,1,2,False,-10
6880,81.14999999999768,795.9059999999773,1,1,2,False,-10
6885,81.09999999999768,796.3117499999773,1,1,2,False,-10
6890,81.04999999999768,796.7172499999773,1,1,2,False,-10
6895,80.99999999999768,797.1224999999773,1,1,2,False,-10
6900,80.94999999999769,797.5274999999773,1,1,2,False,-10
6905,80.89999999999769,797.9322499999773,1,1,2,False,-10
